Ward_id_2010,Hypertension_2010,Ward_id_2011,Hypertension_2011,Ward_id_2012,Hypertension_2012,Ward_id_2013,Hypertension_2013,Ward_id_2014,Hypertension_2014,Ward_id_2015,Hypertension_2015,Ward_id_2016,Hypertension_2016,Ward_id_2017,Hypertension_2017,Ward_id_2018,Hypertension_2018,Ward_id_2019,Hypertension_2019
177,16.17589526,177,50.8717573,581,6.702902225,581,6.53695996,187,5.823194391,187,8.259546064,187,7.148603036,187,7.19696366,187,6.50659808,187,6.141281512
187,5.131125883,187,5.338980098,460,5.268293519,460,5.786585192,581,5.815458769,581,5.50742331,177,5.534029698,581,5.601481591,200,5.778463094,200,5.503226993
581,4.945087473,581,5.322433122,187,5.031075163,65,5.064857107,65,5.43825761,65,5.316425974,581,5.480718852,177,5.080681205,581,5.106126837,581,5.487293471
460,4.782072222,460,4.836475185,65,4.964459079,177,4.921831396,177,5.131043582,177,5.163734408,65,5.085337824,460,4.55839399,177,4.694212085,177,5.156073328
65,4.551815259,65,4.719889811,258,4.807855191,258,4.682933448,460,4.920645375,460,4.489492558,258,4.112849502,258,4.169096321,460,4.165888946,460,4.748008521
258,4.191394729,258,4.119720321,177,4.407007941,187,4.469809688,258,3.969832668,113,4.154890822,256,3.973481164,65,4.060504912,258,4.09601813,65,4.066147463
166,3.139063236,200,4.076114112,166,3.725028794,113,3.779525916,113,3.811562903,258,3.657935615,440,3.782756677,256,3.835381776,256,3.670383314,258,3.938252643
200,2.917890773,440,3.371743238,569,3.1311627,256,3.489344048,256,3.390782897,256,3.457271885,113,3.331511313,113,3.255395844,440,3.427630197,256,3.420055704
256,2.835675787,256,3.279804903,113,3.106198469,166,3.446916,166,3.294103317,569,3.29375535,460,3.204720602,440,3.151432683,65,3.018891688,440,3.312238111
440,2.81127118,569,2.863184236,256,3.068736767,569,2.884529898,569,2.659638526,166,2.932215247,569,2.804464972,569,2.810066772,113,2.8955853,113,2.890928898
113,2.757034791,166,2.850074663,440,2.037166219,37,2.006501287,200,2.151675488,179,2.373776455,179,2.267683662,200,2.78813045,569,2.523854323,166,2.677612894
569,2.670032288,113,2.625913625,37,1.976529783,583,1.95995491,583,1.935620252,583,2.172408956,200,2.06113925,179,2.252306321,166,2.46629935,179,2.590993692
74,2.226429942,74,2.552545667,426,1.974865715,200,1.863133471,37,1.833995896,200,2.140628252,583,1.995894028,166,2.030914838,179,2.446942918,569,2.376904506
203,1.695746635,179,2.192489239,583,1.971666828,74,1.743892383,74,1.804682222,440,2.057779475,466,1.762176851,583,1.956324879,583,2.06353195,74,2.293765531
583,1.567365221,203,1.862941045,200,1.969849471,440,1.740623019,203,1.655339202,37,2.051998699,74,1.697203881,74,1.928913055,466,1.863921407,583,1.833326497
37,1.548748002,583,1.819688149,203,1.75466262,203,1.686094536,440,1.585732253,175,1.953577797,175,1.642897639,203,1.649747625,74,1.760908908,203,1.677207664
179,1.516700998,62,1.620839738,74,1.754392503,426,1.658897191,426,1.547396843,74,1.75792885,203,1.603368534,175,1.64001334,203,1.625952305,466,1.625617277
618,1.418614403,229,1.540248741,595,1.594185073,189,1.437663532,179,1.50858895,203,1.694954006,37,1.541645149,62,1.639123978,175,1.590220957,62,1.569420364
426,1.411943143,618,1.513180547,348,1.513704094,618,1.432620607,618,1.436089872,466,1.594273513,166,1.487317035,37,1.585691991,62,1.562771,175,1.500887792
348,1.376944742,323,1.499464638,618,1.479669454,348,1.420417701,323,1.322403302,426,1.458834796,62,1.445386871,466,1.575982841,37,1.40594265,462,1.454441621
323,1.352398217,448,1.486943135,189,1.452875409,323,1.346089322,175,1.293136307,618,1.458214381,448,1.351287145,448,1.406385206,448,1.393100334,37,1.433948965
229,1.323454321,37,1.427313184,323,1.412029312,179,1.333747917,461,1.286274954,62,1.351755337,618,1.328527066,229,1.368095067,229,1.333712911,618,1.393322891
448,1.307182018,102,1.342408985,448,1.354467169,448,1.286118744,348,1.280440124,448,1.345665698,229,1.318244107,618,1.365486653,618,1.314495181,448,1.385930989
102,1.22206401,148,1.314196831,179,1.352552142,461,1.280577747,448,1.262705382,323,1.332592969,323,1.288810299,323,1.303874563,323,1.294867528,323,1.337426364
62,1.182455675,426,1.301197026,461,1.314570271,229,1.219659512,229,1.253329779,229,1.326563103,102,1.179576945,102,1.200291295,102,1.225650802,229,1.304433139
461,1.140459283,175,1.291466896,102,1.269190752,102,1.217572453,595,1.207654379,461,1.247078363,426,1.172507374,148,1.160691349,148,1.113958239,102,1.254051251
148,1.138124122,466,1.283239204,229,1.266819073,175,1.194531301,102,1.206187855,102,1.229984806,148,1.120247187,348,1.081825234,111,1.057708811,243,1.165830305
111,1.063773064,461,1.203886967,350,1.257561377,350,1.184397459,189,1.185814806,148,1.186977996,461,1.117962286,461,1.078412225,461,1.035851935,148,1.146921365
175,1.030541594,111,1.194687695,148,1.202069889,148,1.167741533,148,1.177939687,350,1.168805638,350,1.081157024,255,1.053130075,186,0.935249549,111,1.094973766
189,1.029625871,243,1.190418057,111,1.104751031,595,1.123597561,466,1.167725505,111,1.116606273,111,1.029002499,426,1.05042983,452,0.908963585,461,1.051983368
595,1.012641951,249,1.019127255,175,0.99434714,111,1.075663222,350,1.146554879,595,1.097065922,189,1.025796992,111,1.040519576,582,0.906915686,251,1.01039827
249,1.010018886,617,0.989421597,249,0.980177372,249,1.022566088,111,1.11331857,189,1.096479648,255,0.964170776,186,1.002441715,243,0.887594943,564,0.999223102
452,0.935812354,348,0.97426249,452,0.970248132,466,1.009770004,62,1.048082896,348,1.032261371,186,0.950455394,350,0.970252756,147,0.855386347,452,0.931429042
582,0.853440518,452,0.973088243,62,0.937955897,62,0.995680065,186,0.998682799,186,1.030745488,452,0.893857799,189,0.919617256,236,0.847505188,617,0.927022458
