Ward Code,Diabetes_2010,Hypertension_2010,Diabetes_2011,Hypertension_2011,Diabetes_2012,Hypertension_2012,Diabetes_2013,Hypertension_2013,Diabetes_2014,Hypertension_2014,Diabetes_2015,Hypertension_2015,Diabetes_2016,Hypertension_2016,Diabetes_2017,Hypertension_2017,Diabetes_2018,Hypertension_2018,Diabetes_2019,Hypertension_2019
E05000026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000043,0.669833666,0.624943609,0.925553184,0.87402494,0.3552827,0.424662106,0.340605917,0.393839384,0.364698707,0.381109604,0.436969339,0.454200943,1.180287038,1.106472441,1.15186686,1.103403708,1.219809433,1.094548929,1.195634873,1.026651607
E05000044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000045,1.399464467,1.324682116,1.460778063,1.371578395,1.532823318,1.396344368,1.501465245,1.327831137,1.463315936,1.365066263,1.483866712,1.333668551,1.457389937,1.281658678,1.434521118,1.321144004,1.428139223,1.301192649,1.449044563,1.355202045
E05000046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05000049,0.888083404,0.82020081,0.918299472,0.794342787,0.837846339,0.78572291,0.831943374,0.737758806,0.859100429,0.749947592,0.933912876,0.805823729,0.90604004,0.760137023,0.926405352,0.774413058,0.915488849,0.737238623,0.983417297,0.822471446
E05000050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
